24254	Pseudacris cadaverina	California Tree Frog
24255	Pseudacris maculata	Boreal Chorus Frog
24256	Pseudacris brachyphona	Mountain Chorus Frog
24257	Pseudacris streckeri	Strecker's Chorus Frog
24258	Pseudacris clarkii	Spotted Chorus Frog
24259	Pseudacris regilla	Pacific chorus frog
24262	Pseudacris ocularis	Little Grass Frog
24263	Pseudacris feriarum	Upland Chorus Frog
24267	Pseudacris triseriata	Western Chorus Frog
24268	Pseudacris crucifer	Spring Peeper
24272	Smilisca phaeota	Masked Tree Frog
24275	Smilisca sila	Pugnosed Tree Frog
24277	Smilisca baudinii	Mexican Treefrog
24279	Scinax nasicus	Lesser Snouted Tree Frog
24285	Scinax fuscovarius	Fuscous-blotched Snouted Tree Frog
24288	Scinax garbei	Eirunepe Snouted Tree Frog
24322	Scinax ruber	Red Snouted Tree Frog
24323	Scinax staufferi	Stauffer's Tree Frog
24357	Scinax squalirostris	Striped Snouted Tree Frog
24363	Scinax granulatus	Argentine Snouted Tree Frog
24379	Osteopilus dominicensis	Hispaniolan Common Tree Frog
24382	Osteopilus septentrionalis	Cuban Tree Frog
243957	Cacama valvata	Common Cactus Dodger
243961	Cicada orni	Ash Cicada
244011	Diceroprocta eugraphica	Tablelands Flag-Bearer
244017	Neocicada hieroglyphica	Hieroglyphic Cicada
244023	Pacarina puella	Little mesquite cicada
244024	Quesada gigas	Giant Cicada
24411	Pseudis minuta	Lesser Swimming Frog
244334	Magicicada tredecassini	Cassin's 13-Year Cicada
24436	Triprion petasatus	Yucatán Casque-headed Tree Frog
24473	Alytes obstetricans	Common Midwife Toad
24475	Alytes cisternasii	Iberian Midwife Toad
24495	Bombina bombina	European Fire-Bellied Toad
24501	Bombina orientalis	Oriental Fire-bellied Toad
24583	Arthroleptis wahlbergii	Bush Squeaker
24826	Microhyla heymonsi	Dark-sided Chorus Frog
24832	Microhyla butleri	Tubercled Pygmy Frog
24899	Phrynomantis bifasciatus	Red-Banded Rubber Frog
24914	Kaloula baleata	Muller's Narrowmouth Frog
24915	Kaloula borealis	Boreal Digging Frog
24994	Breviceps montanus	Mountain Rain Frog
